GRMZM2G475702,chr4,77482232,1,Sb07g020290,Si013335m.g,LOC_Os08g32060,Bradi3g35830
GRMZM2G019251,chr2,158063121,1,Sb02g007020,Si030831m.g,LOC_Os07g13280,Bradi1g53620
GRMZM2G481529,chr1,38634767,-1,Sb01g040040,Si035477m.g,LOC_Os03g15950,Bradi1g67090
GRMZM2G335930,chr5,208086189,1,Sb04g027720,Si016272m.g,LOC_Os02g51600,Bradi3g59040
GRMZM2G423423,chr1,269081966,1,Sb01g010020,scaffold_9:6914055:7340616:hit,LOC_Os03g50920,Bradi1g10610
GRMZM2G160324,chr1,39055186,-1,Sb01g039920,Si035717m.g,LOC_Os03g16120,Bradi1g66960
GRMZM2G119482,chr4,235615131,-1,Sb04g004920,Si016884m.g,LOC_Os02g07760,Bradi3g05490
GRMZM2G119483,chr8,131125976,-1,Sb09g002340,Si022453m.g,LOC_Os05g03630,Bradi2g38210
GRMZM2G055052,chr1,32228014,-1,Sb01g041450,Si035714m.g,LOC_Os03g13740,Bradi1g68530
GRMZM5G868683,chr1,226133575,1,Sb01g017830,Si035665m.g,LOC_Os10g35920,Bradi3g30187
GRMZM2G373420,chr5,61062710,1,Sb10g030130,Si007341m.g,LOC_Os06g50130,Bradi1g35210
GRMZM2G441656,chr6,129880291,-1,Sb09g005910,scaffold_3:7117550:7544194:hit,LOC_Os05g09580,Bradi2g33350
GRMZM2G068177,chr2,1972876,-1,Sb06g032710,Si022500m.g,LOC_Os04g57819,Bradi5g25980
GRMZM2G068179,chr1,282747124,-1,Sb01g006610,Si036811m.g,LOC_Os03g56370,Bradi1g07120
GRMZM5G873277,chr2,215646437,1,Sb02g042260,Si032753m.g,LOC_Os07g47180,Bradi1g18450
GRMZM2G064841,chr1,21209126,1,Sb01g043370,Si035885m.g,LOC_Os03g11050,Bradi1g70620
GRMZM2G119736,chr1,5326920,1,Sb01g048910,Si035494m.g,LOC_Os03g03290,Bradi1g76910
GRMZM2G070562,chr3,169618983,-1,Sb03g042250,Si000568m.g,LOC_Os01g66560,Bradi2g57350
GRMZM2G065021,chr4,149745384,1,Sb04g033410,Si017221m.g,LOC_Os02g43250,Bradi3g50190
GRMZM2G426067,chr2,15568998,1,Sb06g026210,Si009822m.g,LOC_Os04g48950,Bradi5g19170
GRMZM5G869482,chr5,15130627,1,Sb01g012790,Si034668m.g,LOC_Os03g45770,Bradi1g13150
GRMZM2G101412,chr5,209685693,-1,Sb04g034000,Si017747m.g,LOC_Os02g52410,Bradi3g58150
GRMZM2G101413,chr6,159730748,1,Sb09g026380,Si023216m.g,LOC_Os05g45310,Bradi2g19040
GRMZM2G324090,chr8,157639251,1,chromosome_3:73207836:73642027:hit,scaffold_5:46410125:46759859:hit,Chr1:41933580:42306422:hit,Bd2:58155671:58566320:hit
GRMZM2G473016,chr4,178469081,-1,Sb04g034270,Si017866m.g,LOC_Os02g52870,Bradi3g57880
GRMZM2G061314,chr9,149538087,1,Sb01g044540,Si034654m.g,LOC_Os03g09070,Bradi1g71840
GRMZM5G865483,chr2,208653484,1,Sb02g038000,scaffold_2:44460596:44865917:hit,LOC_Os07g39960,Bradi1g22940
GRMZM2G035531,chr9,119969671,1,chromosome_1:56819100:57450186:hit,Si036960m.g,LOC_Os03g26990,Bradi1g60860
GRMZM2G080314,chr6,158090085,-1,Sb09g025150,Si021105m.g,LOC_Os05g43610,Bradi2g20260
GRMZM2G103812,chr3,161730801,-1,Sb03g043750,Si001022m.g,LOC_Os01g68770,Bradi2g58677
